,ad_creative_body,count
77,"The only place online to purchase the OFFICIAL Trump Pence Keep America Great Dog Collar. 

Proudly made in the USA!",4579
78,"President Trump has spent the past three and a half years fighting for YOU! 

It's time to show the Fake News Media and Democrat Elites how STRONG the Silent Majority is. 

President Trump needs you to request your ballot. This is the Election of our LIFETIME. 

A vote for President Trump is a vote to SAVE America. Request your ballot.",4551
79,"Have you signed yet?

Nothing could make the President’s birthday better than to see your signature and warm wishes on his Official Birthday Card.

Please add your name to the President’s ONLY OFFICIAL birthday card assembled by everyone at Team TRUMP.",4528
80,"THE MUST HAVE TRUMP COLLECTORS ITEM

For the FIRST TIME EVER, we're allowing you to CUSTOMIZE your Trump Gear, starting with our LIMITED-EDITION Trump-Pence 2020 Welcome Mats.",4524
81,"I WANT YOU TO JOIN ME AT THE REPUBLICAN NATIONAL CONVENTION!

We will be celebrating the Republican National Convention in the great State of Florida and I want YOU to join me!

My team will cover the flight and hotel for you and a guest of your choice, and you'll both get VIP PASSES to the celebration. 

Enter today for your chance at this once-in-a-lifetime opportunity to celebrate the the 2020 Republican National Convention as my VIP Guest.",4485
82,"Our country is facing an unprecedented time right now, but thanks to President Trump’s leadership, we will prevail! 

He truly loves this country, and he knows you do too. The US is at its strongest when we come together as one, and we have done just that. 

President Trump has asked us to reach out to YOU to get YOUR input on his agenda by taking our Official Women for Trump Priorities Survey. 

Please respond by 11:59 PM TONIGHT to make sure your voice is heard.",4458
83,"UNTIL 11:59 PM TONIGHT - ALL ENTRIES ARE FREE.

This beautiful hat will go to a Patriot who has demonstrated their unwavering support for President Trump heading into November, and he can't think of anyone who is more deserving of it than YOU.

All you have to do is ENTER by 11:59 PM TONIGHT to win this Keep America Great Hat hand-signed by President Trump.",4405
84,Visit the Official Trump Store today to shop the Official Space Force Merch. The deals are out of this world.,4391
85,"Your support for President Trump has never been more important than it is RIGHT NOW.

Along with the rest of the world, our Nation is facing unprecedented challenges at the hands of the Coronavirus, and having the strength of a leader who is willing to put America First is absolutely paramount at a time like this.

Your support for President Trump has never been more important than it is RIGHT NOW.

Please take the Official Trump Approval Poll before 11:59 PM TONIGHT to tell President Trump what you think.",4379
86,"Chuck and the rest of the Radical Left-wing MOB still can't stand that YOUR President successfully appointed two conservative judges to serve on the United States Supreme Court.

Justice Gorsuch and Justice Kavanaugh are true constitutionalists and have been OUTSTANDING since the day they were confirmed - it’s driving Cryin’ Chuck mad.

President Trump has never cared what the Deranged Democrats think about his decisions as YOUR President, but he does draw the line when they openly THREATEN Supreme Court Justices.

To show Chuck and his posse just how WRONG they are about all of this, President Trump is requesting your input on our Official Justice Gorsuch and Justice Kavanaugh Approval Poll.",4320
